Tier,Region,Country/Entity,Organization,Language,Domain,Feed_URL
4,Latin America,Brazil,O Globo,Portuguese,oglobo.globo.com,https://news.google.com/rss/search?q=site%3Aoglobo.globo.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=pt
4,Latin America,Brazil,Brazil Reports,English,brazilreports.com,https://news.google.com/rss/search?q=site%3Abrazilreports.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
4,North America,Mexico,El Universal,Spanish,eluniversal.com.mx,https://news.google.com/rss/search?q=site%3Aeluniversal.com.mx+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=es
4,North America,Mexico,Reforma,Spanish,reforma.com,https://news.google.com/rss/search?q=site%3Areforma.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=es
4,North America,Mexico,Mexico News Daily,English,mexiconewsdaily.com,https://news.google.com/rss/search?q=site%3Amexiconewsdaily.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
4,Latin America,Argentina,La Nación,Spanish,lanacion.com.ar,https://news.google.com/rss/search?q=site%3Alanacion.com.ar+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=es
4,Latin America,Argentina,Clarín,Spanish,clarin.com,https://news.google.com/rss/search?q=site%3Aclarin.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=es
5,Africa,South Africa,News24,English,news24.com,https://news.google.com/rss/search?q=site%3Anews24.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,South Africa,Daily Maverick,English,dailymaverick.co.za,https://news.google.com/rss/search?q=site%3Adailymaverick.co.za+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,South Africa,SABC News,English,sabcnews.com,https://news.google.com/rss/search?q=site%3Asabcnews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,South Africa,Mail & Guardian,English,mg.co.za,https://news.google.com/rss/search?q=site%3Amg.co.za+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,Nigeria,Vanguard,English,vanguardngr.com,https://news.google.com/rss/search?q=site%3Avanguardngr.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,Nigeria,The Nation,English,nation.com.ng,https://news.google.com/rss/search?q=site%3Anation.com.ng+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,Nigeria,Punch,English,punchng.com,https://news.google.com/rss/search?q=site%3Apunchng.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,Kenya,Daily Nation,English,nation.africa,https://news.google.com/rss/search?q=site%3Anation.africa+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
5,Africa,Kenya,The Standard,English,standardmedia.co.ke,https://news.google.com/rss/search?q=site%3Astandardmedia.co.ke+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Indonesia,Jakarta Post,English,thejakartapost.com,https://news.google.com/rss/search?q=site%3Athejakartapost.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Indonesia,Jakarta Globe,English,jakartaglobe.id,https://news.google.com/rss/search?q=site%3Ajakartaglobe.id+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Indonesia,Antara News,English,antaranews.com,https://news.google.com/rss/search?q=site%3Aantaranews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Thailand,Bangkok Post,English,bangkokpost.com,https://news.google.com/rss/search?q=site%3Abangkokpost.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Thailand,The Nation Thailand,English,nationthai.com,https://news.google.com/rss/search?q=site%3Anationthai.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Vietnam,VN Express,English,e.vnexpress.net,https://news.google.com/rss/search?q=site%3Ae.vnexpress.net+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Vietnam,Vietnam News,English,vietnamnews.vn,https://news.google.com/rss/search?q=site%3Avietnamnews.vn+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Singapore,Straits Times,English,straitsitimes.com,https://news.google.com/rss/search?q=site%3Astraitsitimes.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Singapore,Channel NewsAsia,English,channelnewsasia.com,https://news.google.com/rss/search?q=site%3Achannelnewsasia.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Malaysia,New Straits Times,English,nst.com.my,https://news.google.com/rss/search?q=site%3Anst.com.my+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Malaysia,The Star,English,thestar.com.my,https://news.google.com/rss/search?q=site%3Athestar.com.my+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Philippines,Philippine Daily Inquirer,English,inquirer.net,https://news.google.com/rss/search?q=site%3Ainquirer.net+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
6,Asia,Philippines,Manila Bulletin,English,mb.com.ph,https://news.google.com/rss/search?q=site%3Amb.com.ph+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
7,Asia,Pakistan,Dawn,English,dawn.com,https://news.google.com/rss/search?q=site%3Adawn.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
7,Asia,Pakistan,The News,English,thenews.com.pk,https://news.google.com/rss/search?q=site%3Athenews.com.pk+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
7,Asia,Pakistan,Express Tribune,English,tribune.com.pk,https://news.google.com/rss/search?q=site%3Atribune.com.pk+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
7,Asia,Bangladesh,Daily Star,English,thedailystar.net,https://news.google.com/rss/search?q=site%3Athedailystar.net+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
7,Asia,Bangladesh,Dhaka Tribune,English,dhakatribune.com,https://news.google.com/rss/search?q=site%3Adhakatribune.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
7,Asia,Sri Lanka,Daily Mirror,English,dailymirror.lk,https://news.google.com/rss/search?q=site%3Adailymirror.lk+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
8,Europe,Poland,Warsaw Business Journal,English,wbj.pl,https://news.google.com/rss/search?q=site%3Awbj.pl+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
8,Europe,Poland,The First News,English,thefirstnews.com,https://news.google.com/rss/search?q=site%3Athefirstnews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
8,Europe,Ukraine,Kyiv Post,English,kyivpost.com,https://news.google.com/rss/search?q=site%3Akyivpost.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
8,Europe,Ukraine,Ukraine World,English,ukraineworld.org,https://news.google.com/rss/search?q=site%3Aukraineworld.org+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
8,Central Asia,Kazakhstan,The Astana Times,English,astanatimes.com,https://news.google.com/rss/search?q=site%3Aastanatimes.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
9,International,United Nations,UN News,English,unews.org,https://news.google.com/rss/search?q=site%3Aunews.org+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
9,International,World Bank,World Bank News,English,worldbank.org,https://news.google.com/rss/search?q=site%3Aworldbank.org+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
9,International,NATO,NATO News,English,nato.int,https://news.google.com/rss/search?q=site%3Anato.int+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
9,International,BRICS,BRICS Info,English,bricsinfo.org,https://news.google.com/rss/search?q=site%3Abricsinfo.org+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
